nro pedido,dia del pedido,dia llegada del pedido,demora
1,16/02,25/02,9
2,23/02,04/03,9
3,02/03,09/03,7
4,09/03,16/03,7
5,16/03,25/03,9
6,23/03,31/03,8
7,30/03,06/04,7
8,06/04,15/04,9
9,13/04,20/04,7
10,20/04,28/04,8
